"Step","benford - valid_arithmetic_perfect","benford - valid_arithmetic_perfect__MIN","benford - valid_arithmetic_perfect__MAX"
"383","71.45","71.45","71.45"
"384","70.01","70.01","70.01"
"385","70.15","70.15","70.15"
"386","70.39","70.39","70.39"
"387","69.42","69.42","69.42"
"388","70.64","70.64","70.64"
"389","70.15","70.15","70.15"
"390","70.03","70.03","70.03"
"391","70.17","70.17","70.17"
"392","69.65","69.65","69.65"
"393","70.99","70.99","70.99"
"394","70.17","70.17","70.17"
"395","70.26","70.26","70.26"
"396","70.3","70.3","70.3"
"397","69.91","69.91","69.91"
"398","70.19","70.19","70.19"
"399","70.13","70.13","70.13"
"400","70.38","70.38","70.38"
"401","69.99","69.99","69.99"
"402","69.36","69.36","69.36"
"403","70.09","70.09","70.09"
"404","70.48","70.48","70.48"
"405","71.11","71.11","71.11"
"406","70.61","70.61","70.61"
"407","71.09","71.09","71.09"
"408","70.39","70.39","70.39"
"409","69.98","69.98","69.98"
"410","70.09","70.09","70.09"
"411","70.14","70.14","70.14"
"412","69.97","69.97","69.97"
"413","71.33","71.33","71.33"
"414","70.86","70.86","70.86"
"415","70.16","70.16","70.16"
"416","70.38","70.38","70.38"
"417","71.38","71.38","71.38"
"418","70.67","70.67","70.67"
"419","71.52","71.52","71.52"
"420","70.96","70.96","70.96"
"421","70.27","70.27","70.27"
"422","71.05","71.05","71.05"
"423","70.34","70.34","70.34"
"424","70.78","70.78","70.78"
"425","71.31","71.31","71.31"
"426","70.55","70.55","70.55"
"427","70.69","70.69","70.69"
"428","71.1","71.1","71.1"
"429","69.95","69.95","69.95"
"430","71.04","71.04","71.04"
"431","70.94","70.94","70.94"
"432","70.32","70.32","70.32"
"433","70.49","70.49","70.49"
"434","71.34","71.34","71.34"
"435","70.91","70.91","70.91"
"436","70.33","70.33","70.33"
"437","70.12","70.12","70.12"
"438","70.63","70.63","70.63"
"439","70.07","70.07","70.07"
"440","71.3","71.3","71.3"
"441","71.18","71.18","71.18"
"442","70.45","70.45","70.45"
"443","71.82","71.82","71.82"
"444","71.22","71.22","71.22"
"445","70.06","70.06","70.06"
"446","70.54","70.54","70.54"
"447","70.92","70.92","70.92"
"448","69.78","69.78","69.78"
"449","70.55","70.55","70.55"
"450","71.51","71.51","71.51"
"451","70.72","70.72","70.72"
"452","70.53","70.53","70.53"
"453","71.26","71.26","71.26"
"454","71.76","71.76","71.76"
"455","71.6","71.6","71.6"
"456","71.15","71.15","71.15"
"457","70.29","70.29","70.29"
"458","71.49","71.49","71.49"
"459","70.61","70.61","70.61"
"460","70.79","70.79","70.79"
"461","70.95","70.95","70.95"
"462","70.79","70.79","70.79"
"463","71.08","71.08","71.08"
"464","70.36","70.36","70.36"
"465","71.01","71.01","71.01"
"466","70.46","70.46","70.46"
"467","70.94","70.94","70.94"
"468","71.07","71.07","71.07"
"469","71.27","71.27","71.27"
"470","71.43","71.43","71.43"
"471","71.44","71.44","71.44"
"472","70.58","70.58","70.58"
"473","70.69","70.69","70.69"
"474","70.43","70.43","70.43"
"475","71.05","71.05","71.05"
"476","71.02","71.02","71.02"
"477","71.27","71.27","71.27"
"478","71.35","71.35","71.35"
"479","71.08","71.08","71.08"
"480","70.91","70.91","70.91"
"481","71.08","71.08","71.08"
"482","71.97","71.97","71.97"
"483","71.94","71.94","71.94"
"484","70.73","70.73","70.73"
"485","71.1","71.1","71.1"
"486","71.72","71.72","71.72"
"487","71.19","71.19","71.19"
"488","71.97","71.97","71.97"
"489","71.87","71.87","71.87"
"490","71.46","71.46","71.46"
"491","71.77","71.77","71.77"
"492","71.91","71.91","71.91"
