"Step","benford2 - valid_arithmetic_perfect","benford2 - valid_arithmetic_perfect__MIN","benford2 - valid_arithmetic_perfect__MAX"
"1755","87.08","87.08","87.08"
"1756","87.18","87.18","87.18"
"1757","87.3","87.3","87.3"
"1758","86.78","86.78","86.78"
"1759","87.57","87.57","87.57"
"1760","87.12","87.12","87.12"
"1761","86.96","86.96","86.96"
"1762","87.55","87.55","87.55"
"1763","87.5","87.5","87.5"
"1764","87.59","87.59","87.59"
"1765","87.67","87.67","87.67"
"1766","87.05","87.05","87.05"
"1767","86.97","86.97","86.97"
"1768","87.56","87.56","87.56"
"1769","87.04","87.04","87.04"
"1770","87.39","87.39","87.39"
"1771","87.31","87.31","87.31"
"1772","87.69","87.69","87.69"
"1773","87.18","87.18","87.18"
"1774","87.7","87.7","87.7"
"1775","87.22","87.22","87.22"
"1776","87.27","87.27","87.27"
"1777","87.36","87.36","87.36"
"1778","87.26","87.26","87.26"
"1779","86.76","86.76","86.76"
"1780","87.59","87.59","87.59"
"1781","86.85","86.85","86.85"
"1782","87.77","87.77","87.77"
"1783","87.4","87.4","87.4"
"1784","87.04","87.04","87.04"
"1785","87.3","87.3","87.3"
"1786","88.07","88.07","88.07"
"1787","87.18","87.18","87.18"
"1788","87.36","87.36","87.36"
"1789","87.17","87.17","87.17"
"1790","87.06","87.06","87.06"
"1791","87.04","87.04","87.04"
"1792","86.8","86.8","86.8"
"1793","87.65","87.65","87.65"
"1794","87.29","87.29","87.29"
"1795","87.27","87.27","87.27"
"1796","87.11","87.11","87.11"
"1797","86.73","86.73","86.73"
"1798","87.52","87.52","87.52"
"1799","87.57","87.57","87.57"
"1800","87.58","87.58","87.58"
"1801","87.47","87.47","87.47"
"1802","87.16","87.16","87.16"
"1803","87.35","87.35","87.35"
"1804","87.16","87.16","87.16"
"1805","87.35","87.35","87.35"
"1806","87.61","87.61","87.61"
"1807","87.68","87.68","87.68"
"1808","87.28","87.28","87.28"
"1809","87.57","87.57","87.57"
"1810","88.14","88.14","88.14"
"1811","87.11","87.11","87.11"
"1812","87.21","87.21","87.21"
"1813","87.53","87.53","87.53"
"1814","87.29","87.29","87.29"
"1815","87.02","87.02","87.02"
"1816","87.8","87.8","87.8"
"1817","87.29","87.29","87.29"
"1818","87","87","87"
"1819","87.33","87.33","87.33"
"1820","87.47","87.47","87.47"
"1821","86.42","86.42","86.42"
"1822","87.48","87.48","87.48"
"1823","87.65","87.65","87.65"
"1824","87.26","87.26","87.26"
"1825","87.37","87.37","87.37"
"1826","87.42","87.42","87.42"
"1827","86.96","86.96","86.96"
"1828","87.29","87.29","87.29"
"1829","86.67","86.67","86.67"
"1830","87.2","87.2","87.2"
"1831","87.46","87.46","87.46"
"1832","88.1","88.1","88.1"
"1833","87.63","87.63","87.63"
"1834","87.61","87.61","87.61"
"1835","87.74","87.74","87.74"
"1836","87.61","87.61","87.61"
"1837","87.57","87.57","87.57"
"1838","87.86","87.86","87.86"
"1839","87.77","87.77","87.77"
"1840","87.45","87.45","87.45"
"1841","88","88","88"
"1842","87.56","87.56","87.56"
"1843","87.65","87.65","87.65"
"1844","87.42","87.42","87.42"
"1845","87.45","87.45","87.45"
"1846","87.62","87.62","87.62"
"1847","87.21","87.21","87.21"
"1848","87.13","87.13","87.13"
"1849","88.22","88.22","88.22"
"1850","87.84","87.84","87.84"
"1851","87.23","87.23","87.23"
"1852","87.23","87.23","87.23"
"1853","87.42","87.42","87.42"
"1854","87.7","87.7","87.7"
"1855","87.4","87.4","87.4"
"1856","87.54","87.54","87.54"
"1857","87.58","87.58","87.58"
"1858","87.04","87.04","87.04"
"1859","87.24","87.24","87.24"
"1860","87.56","87.56","87.56"
"1861","87.7","87.7","87.7"
"1862","87.82","87.82","87.82"
"1863","86.99","86.99","86.99"
"1864","87.34","87.34","87.34"
"1865","87.91","87.91","87.91"
"1866","87.62","87.62","87.62"
"1867","87.56","87.56","87.56"
"1868","88.23","88.23","88.23"
"1869","87.36","87.36","87.36"
"1870","86.91","86.91","86.91"
"1871","87.42","87.42","87.42"
"1872","87.47","87.47","87.47"
"1873","88.18","88.18","88.18"
"1874","87.11","87.11","87.11"
"1875","88.22","88.22","88.22"
"1876","87.83","87.83","87.83"
