"Step","benford - test_arithmetic_perfect","benford - test_arithmetic_perfect__MIN","benford - test_arithmetic_perfect__MAX"
"472","57.46","57.46","57.46"
"473","56.87","56.87","56.87"
"474","58.27","58.27","58.27"
"475","57.64","57.64","57.64"
"476","58.52","58.52","58.52"
"477","56.6","56.6","56.6"
"478","57.86","57.86","57.86"
"479","56.92","56.92","56.92"
"480","56.88","56.88","56.88"
"481","58.67","58.67","58.67"
"482","57.94","57.94","57.94"
"483","56.07","56.07","56.07"
"484","57.97","57.97","57.97"
"485","57.02","57.02","57.02"
"486","58.36","58.36","58.36"
"487","58.07","58.07","58.07"
"488","58.83","58.83","58.83"
"489","57","57","57"
"490","57.19","57.19","57.19"
"491","57.69","57.69","57.69"
"492","58.42","58.42","58.42"
"493","58.75","58.75","58.75"
"494","58.72","58.72","58.72"
"495","58.6","58.6","58.6"
"496","59.57","59.57","59.57"
"497","57.81","57.81","57.81"
"498","58.89","58.89","58.89"
"499","57.84","57.84","57.84"
"500","59","59","59"
"501","58.45","58.45","58.45"
"502","57.56","57.56","57.56"
"503","59.05","59.05","59.05"
"504","56.99","56.99","56.99"
"505","58.96","58.96","58.96"
"506","59.15","59.15","59.15"
"507","56.67","56.67","56.67"
"508","57.31","57.31","57.31"
"509","57.93","57.93","57.93"
"510","59.4","59.4","59.4"
"511","58.55","58.55","58.55"
"512","58.22","58.22","58.22"
"513","58.07","58.07","58.07"
"514","59.45","59.45","59.45"
"515","58.81","58.81","58.81"
"516","58.87","58.87","58.87"
"517","59.05","59.05","59.05"
"518","59.75","59.75","59.75"
"519","59.05","59.05","59.05"
"520","58.01","58.01","58.01"
"521","58.01","58.01","58.01"
"522","59.15","59.15","59.15"
"523","59.48","59.48","59.48"
"524","58.83","58.83","58.83"
"525","58.91","58.91","58.91"
"526","60.22","60.22","60.22"
"527","59.14","59.14","59.14"
"528","59.11","59.11","59.11"
"529","58.72","58.72","58.72"
"530","58.75","58.75","58.75"
"531","59.1","59.1","59.1"
"532","60.29","60.29","60.29"
"533","58.33","58.33","58.33"
"534","58.38","58.38","58.38"
"535","59.57","59.57","59.57"
"536","59.61","59.61","59.61"
"537","60.71","60.71","60.71"
"538","61.27","61.27","61.27"
"539","60.93","60.93","60.93"
"540","58.97","58.97","58.97"
"541","60.28","60.28","60.28"
"542","59.5","59.5","59.5"
"543","60.29","60.29","60.29"
"544","59.77","59.77","59.77"
"545","59.28","59.28","59.28"
"546","60.94","60.94","60.94"
"547","61.07","61.07","61.07"
"548","59.08","59.08","59.08"
"549","61.27","61.27","61.27"
"550","60.57","60.57","60.57"
"551","60.96","60.96","60.96"
"552","60.02","60.02","60.02"
"553","58.72","58.72","58.72"
"554","60.13","60.13","60.13"
"555","59.79","59.79","59.79"
"556","59.23","59.23","59.23"
"557","59.43","59.43","59.43"
"558","59.29","59.29","59.29"
"559","59.62","59.62","59.62"
"560","61.19","61.19","61.19"
"561","59.86","59.86","59.86"
"562","62.3","62.3","62.3"
"563","60.96","60.96","60.96"
"564","60.12","60.12","60.12"
"565","60.04","60.04","60.04"
"566","59.56","59.56","59.56"
"567","61.05","61.05","61.05"
"568","60.71","60.71","60.71"
"569","59.91","59.91","59.91"
"570","61.89","61.89","61.89"
"571","60.25","60.25","60.25"
"572","59.92","59.92","59.92"
"573","61.34","61.34","61.34"
"574","61.83","61.83","61.83"
"575","60.97","60.97","60.97"
"576","61.29","61.29","61.29"
"577","61.22","61.22","61.22"
"578","62.41","62.41","62.41"
"579","61.23","61.23","61.23"
"580","62.04","62.04","62.04"
"581","62.39","62.39","62.39"
"582","61.1","61.1","61.1"
"583","61.89","61.89","61.89"
"584","62.68","62.68","62.68"
"585","61.75","61.75","61.75"
"586","61.7","61.7","61.7"
"587","63.2","63.2","63.2"
"588","63.98","63.98","63.98"
"589","62.19","62.19","62.19"
"590","63.44","63.44","63.44"
"591","62.16","62.16","62.16"
"592","62.44","62.44","62.44"
"593","63.02","63.02","63.02"
"594","63.17","63.17","63.17"
"595","62.54","62.54","62.54"
"596","62.89","62.89","62.89"
"597","61.9","61.9","61.9"
"598","62.7","62.7","62.7"
"599","63.88","63.88","63.88"
"600","64.27","64.27","64.27"
"601","63.05","63.05","63.05"
"602","62.59","62.59","62.59"
"603","64.31","64.31","64.31"
"604","64.16","64.16","64.16"
"605","63.19","63.19","63.19"
"606","63.57","63.57","63.57"
"607","63.97","63.97","63.97"
"608","62.17","62.17","62.17"
"609","62.91","62.91","62.91"
"610","63.39","63.39","63.39"
"611","63.29","63.29","63.29"
"612","63.78","63.78","63.78"
"613","64.34","64.34","64.34"
"614","65.05","65.05","65.05"
"615","65.63","65.63","65.63"
"616","63.41","63.41","63.41"
"617","63.49","63.49","63.49"
"618","64.07","64.07","64.07"
"619","64.63","64.63","64.63"
"620","63.29","63.29","63.29"
"621","63.47","63.47","63.47"
"622","61.8","61.8","61.8"
"623","63.23","63.23","63.23"
"624","63.51","63.51","63.51"
"625","64.22","64.22","64.22"
"626","64.37","64.37","64.37"
"627","62.91","62.91","62.91"
"628","63.09","63.09","63.09"
"629","62.93","62.93","62.93"
"630","64.26","64.26","64.26"
"631","64.08","64.08","64.08"
"632","63.7","63.7","63.7"
"633","64.27","64.27","64.27"
"634","65.23","65.23","65.23"
