"Step","benford2 - test_arithmetic_perfect","benford2 - test_arithmetic_perfect__MIN","benford2 - test_arithmetic_perfect__MAX"
"1755","76.59","76.59","76.59"
"1756","76.56","76.56","76.56"
"1757","78.04","78.04","78.04"
"1758","78.04","78.04","78.04"
"1759","77.13","77.13","77.13"
"1760","77.34","77.34","77.34"
"1761","78.45","78.45","78.45"
"1762","77.56","77.56","77.56"
"1763","76.86","76.86","76.86"
"1764","78.35","78.35","78.35"
"1765","77.87","77.87","77.87"
"1766","77.98","77.98","77.98"
"1767","77.01","77.01","77.01"
"1768","77.28","77.28","77.28"
"1769","77.23","77.23","77.23"
"1770","75.91","75.91","75.91"
"1771","77.28","77.28","77.28"
"1772","77.05","77.05","77.05"
"1773","77.36","77.36","77.36"
"1774","77.85","77.85","77.85"
"1775","77.76","77.76","77.76"
"1776","76.86","76.86","76.86"
"1777","77.27","77.27","77.27"
"1778","77.16","77.16","77.16"
"1779","77.78","77.78","77.78"
"1780","78.36","78.36","78.36"
"1781","77.29","77.29","77.29"
"1782","77.57","77.57","77.57"
"1783","78.08","78.08","78.08"
"1784","77.35","77.35","77.35"
"1785","77.27","77.27","77.27"
"1786","76.7","76.7","76.7"
"1787","77.18","77.18","77.18"
"1788","78.1","78.1","78.1"
"1789","77.69","77.69","77.69"
"1790","77.3","77.3","77.3"
"1791","77.49","77.49","77.49"
"1792","77.37","77.37","77.37"
"1793","78.04","78.04","78.04"
"1794","77.56","77.56","77.56"
"1795","78.08","78.08","78.08"
"1796","78.34","78.34","78.34"
"1797","77.36","77.36","77.36"
"1798","77.66","77.66","77.66"
"1799","78.05","78.05","78.05"
"1800","77.41","77.41","77.41"
"1801","78.35","78.35","78.35"
"1802","77.47","77.47","77.47"
"1803","78.37","78.37","78.37"
"1804","77.85","77.85","77.85"
"1805","77.74","77.74","77.74"
"1806","78.53","78.53","78.53"
"1807","77.66","77.66","77.66"
"1808","77.85","77.85","77.85"
"1809","77.38","77.38","77.38"
"1810","78.05","78.05","78.05"
"1811","77.07","77.07","77.07"
"1812","77.36","77.36","77.36"
"1813","77.57","77.57","77.57"
"1814","78.06","78.06","78.06"
"1815","77.68","77.68","77.68"
"1816","77.39","77.39","77.39"
"1817","78.44","78.44","78.44"
"1818","78.32","78.32","78.32"
"1819","78.38","78.38","78.38"
"1820","78.35","78.35","78.35"
"1821","77.57","77.57","77.57"
"1822","78.84","78.84","78.84"
"1823","78.16","78.16","78.16"
"1824","77.92","77.92","77.92"
"1825","78.04","78.04","78.04"
"1826","78.05","78.05","78.05"
"1827","76.46","76.46","76.46"
"1828","77.44","77.44","77.44"
"1829","78.95","78.95","78.95"
"1830","78.07","78.07","78.07"
"1831","77.68","77.68","77.68"
"1832","77.96","77.96","77.96"
"1833","79.05","79.05","79.05"
"1834","79.35","79.35","79.35"
"1835","78.06","78.06","78.06"
"1836","79.15","79.15","79.15"
"1837","78.84","78.84","78.84"
"1838","77.36","77.36","77.36"
"1839","77.85","77.85","77.85"
"1840","77.68","77.68","77.68"
"1841","78.24","78.24","78.24"
"1842","77.95","77.95","77.95"
"1843","77.39","77.39","77.39"
"1844","77.86","77.86","77.86"
"1845","77.97","77.97","77.97"
"1846","77.21","77.21","77.21"
"1847","78.02","78.02","78.02"
"1848","77.57","77.57","77.57"
"1849","77.79","77.79","77.79"
"1850","76.61","76.61","76.61"
"1851","77.67","77.67","77.67"
"1852","77.79","77.79","77.79"
"1853","78.54","78.54","78.54"
"1854","77.87","77.87","77.87"
"1855","78.57","78.57","78.57"
"1856","77.77","77.77","77.77"
"1857","78.34","78.34","78.34"
"1858","78.62","78.62","78.62"
"1859","78.35","78.35","78.35"
"1860","77.58","77.58","77.58"
"1861","78.08","78.08","78.08"
"1862","78.38","78.38","78.38"
"1863","78.44","78.44","78.44"
"1864","79.05","79.05","79.05"
"1865","78.18","78.18","78.18"
"1866","78.94","78.94","78.94"
"1867","78.46","78.46","78.46"
"1868","79.52","79.52","79.52"
"1869","78.95","78.95","78.95"
"1870","78.71","78.71","78.71"
"1871","77.96","77.96","77.96"
"1872","78.63","78.63","78.63"
"1873","77.86","77.86","77.86"
"1874","78.27","78.27","78.27"
"1875","78.25","78.25","78.25"
"1876","78.44","78.44","78.44"
"1877","79.14","79.14","79.14"
"1878","77.87","77.87","77.87"
"1879","77.93","77.93","77.93"
"1880","78.35","78.35","78.35"
"1881","77.85","77.85","77.85"
"1882","77.85","77.85","77.85"
"1883","79.04","79.04","79.04"
"1884","79.42","79.42","79.42"
"1885","78.24","78.24","78.24"
"1886","78.43","78.43","78.43"
"1887","78.35","78.35","78.35"
"1888","78.83","78.83","78.83"
"1889","78.26","78.26","78.26"
"1890","78.87","78.87","78.87"
"1891","79.1","79.1","79.1"
"1892","79.34","79.34","79.34"
"1893","78.81","78.81","78.81"
"1894","78.64","78.64","78.64"
"1895","77.36","77.36","77.36"
"1896","77.95","77.95","77.95"
"1897","77.77","77.77","77.77"
"1898","78.77","78.77","78.77"
"1899","76.97","76.97","76.97"
"1900","77.84","77.84","77.84"
"1901","78.43","78.43","78.43"
"1902","78.38","78.38","78.38"
"1903","77.73","77.73","77.73"
"1904","77.73","77.73","77.73"
"1905","78.44","78.44","78.44"
"1906","77.49","77.49","77.49"
"1907","77.96","77.96","77.96"
"1908","77.67","77.67","77.67"
"1909","78.74","78.74","78.74"
"1910","79.02","79.02","79.02"
"1911","77.67","77.67","77.67"
"1912","78.25","78.25","78.25"
"1913","78.71","78.71","78.71"
"1914","77.51","77.51","77.51"
"1915","77.44","77.44","77.44"
"1916","78.55","78.55","78.55"
"1917","77.59","77.59","77.59"
"1918","77.84","77.84","77.84"
"1919","78.02","78.02","78.02"
"1920","77.57","77.57","77.57"
"1921","78.26","78.26","78.26"
"1922","79.31","79.31","79.31"
"1923","77.97","77.97","77.97"
"1924","78.71","78.71","78.71"
"1925","78.46","78.46","78.46"
"1926","78.44","78.44","78.44"
"1927","78.76","78.76","78.76"
"1928","78.06","78.06","78.06"
"1929","79.32","79.32","79.32"
"1930","78.91","78.91","78.91"
"1931","78.14","78.14","78.14"
"1932","79.13","79.13","79.13"
"1933","78.14","78.14","78.14"
"1934","78.04","78.04","78.04"
"1935","77.95","77.95","77.95"
"1936","78.73","78.73","78.73"
"1937","78.5","78.5","78.5"
"1938","77.97","77.97","77.97"
"1939","78.13","78.13","78.13"
"1940","78.72","78.72","78.72"
"1941","77.96","77.96","77.96"
"1942","78.54","78.54","78.54"
"1943","79.23","79.23","79.23"
"1944","78.37","78.37","78.37"
"1945","77.65","77.65","77.65"
"1946","78.83","78.83","78.83"
"1947","78.92","78.92","78.92"
"1948","78.53","78.53","78.53"
"1949","78.93","78.93","78.93"
"1950","79.16","79.16","79.16"
"1951","79.36","79.36","79.36"
"1952","79.11","79.11","79.11"
"1953","78.84","78.84","78.84"
"1954","78.64","78.64","78.64"
"1955","79.04","79.04","79.04"
"1956","77.77","77.77","77.77"
"1957","78.76","78.76","78.76"
"1958","78.57","78.57","78.57"
"1959","78.32","78.32","78.32"
"1960","78.13","78.13","78.13"
"1961","78.48","78.48","78.48"
"1962","78.55","78.55","78.55"
"1963","78.26","78.26","78.26"
"1964","77.98","77.98","77.98"
"1965","79.51","79.51","79.51"
"1966","78.94","78.94","78.94"
"1967","79.32","79.32","79.32"
"1968","79.11","79.11","79.11"
"1969","79.3","79.3","79.3"
"1970","78.83","78.83","78.83"
"1971","78.81","78.81","78.81"
"1972","77.96","77.96","77.96"
"1973","78.17","78.17","78.17"
"1974","78.61","78.61","78.61"
"1975","78.54","78.54","78.54"
"1976","79.4","79.4","79.4"
"1977","78.43","78.43","78.43"
"1978","78.03","78.03","78.03"
"1979","78.32","78.32","78.32"
"1980","79.13","79.13","79.13"
"1981","78.85","78.85","78.85"
"1982","78.23","78.23","78.23"
"1983","78.99","78.99","78.99"
"1984","78.94","78.94","78.94"
"1985","78.92","78.92","78.92"
"1986","77.97","77.97","77.97"
"1987","78.33","78.33","78.33"
"1988","78.57","78.57","78.57"
"1989","78.34","78.34","78.34"
"1990","78.04","78.04","78.04"
"1991","79.71","79.71","79.71"
"1992","78.43","78.43","78.43"
