"Step","base999 - test_arithmetic_perfect","base999 - test_arithmetic_perfect__MIN","base999 - test_arithmetic_perfect__MAX"
"412","57.4","57.4","57.4"
"413","57.63","57.63","57.63"
"414","56.05","56.05","56.05"
"415","56.63","56.63","56.63"
"416","57.43","57.43","57.43"
"417","55.57","55.57","55.57"
"418","56.94","56.94","56.94"
"419","56.77","56.77","56.77"
"420","56.75","56.75","56.75"
"421","56.76","56.76","56.76"
"422","57.05","57.05","57.05"
"423","56.97","56.97","56.97"
"424","56.05","56.05","56.05"
"425","56.32","56.32","56.32"
"426","56.94","56.94","56.94"
"427","56.03","56.03","56.03"
"428","57.01","57.01","57.01"
"429","57.03","57.03","57.03"
"430","57.69","57.69","57.69"
"431","56.81","56.81","56.81"
"432","56.83","56.83","56.83"
"433","56.63","56.63","56.63"
"434","57.64","57.64","57.64"
"435","57.11","57.11","57.11"
"436","56.18","56.18","56.18"
"437","57.13","57.13","57.13"
"438","57.07","57.07","57.07"
"439","56.73","56.73","56.73"
"440","56.64","56.64","56.64"
"441","57.9","57.9","57.9"
"442","57.6","57.6","57.6"
"443","56.46","56.46","56.46"
"444","57.33","57.33","57.33"
"445","57.22","57.22","57.22"
"446","56.92","56.92","56.92"
"447","56.91","56.91","56.91"
"448","56.99","56.99","56.99"
"449","57.07","57.07","57.07"
"450","57.64","57.64","57.64"
"451","56.16","56.16","56.16"
"452","57.79","57.79","57.79"
"453","57.64","57.64","57.64"
"454","57.43","57.43","57.43"
"455","57.52","57.52","57.52"
"456","56.9","56.9","56.9"
"457","57.42","57.42","57.42"
"458","57.42","57.42","57.42"
"459","56.83","56.83","56.83"
"460","56.56","56.56","56.56"
"461","57.87","57.87","57.87"
"462","58.05","58.05","58.05"
"463","57.43","57.43","57.43"
"464","57.06","57.06","57.06"
"465","58.47","58.47","58.47"
"466","57.41","57.41","57.41"
"467","57.71","57.71","57.71"
"468","57.56","57.56","57.56"
"469","57.91","57.91","57.91"
"470","57.7","57.7","57.7"
"471","58","58","58"
"472","58.61","58.61","58.61"
"473","57.85","57.85","57.85"
"474","57.95","57.95","57.95"
"475","58.5","58.5","58.5"
"476","58.67","58.67","58.67"
"477","58.26","58.26","58.26"
"478","58.18","58.18","58.18"
"479","58.21","58.21","58.21"
"480","57.49","57.49","57.49"
"481","59.47","59.47","59.47"
"482","58.6","58.6","58.6"
"483","59.17","59.17","59.17"
"484","58.81","58.81","58.81"
"485","57.72","57.72","57.72"
"486","58.47","58.47","58.47"
"487","58.27","58.27","58.27"
"488","58.88","58.88","58.88"
"489","59.48","59.48","59.48"
"490","58.51","58.51","58.51"
"491","59.28","59.28","59.28"
"492","59.05","59.05","59.05"
"493","59.66","59.66","59.66"
"494","59.76","59.76","59.76"
"495","58.28","58.28","58.28"
"496","59.66","59.66","59.66"
"497","60.13","60.13","60.13"
"498","59.83","59.83","59.83"
"499","59","59","59"
"500","60.07","60.07","60.07"
"501","59.09","59.09","59.09"
"502","58.95","58.95","58.95"
"503","58.93","58.93","58.93"
"504","59.94","59.94","59.94"
"505","58.62","58.62","58.62"
"506","60.44","60.44","60.44"
"507","59.87","59.87","59.87"
"508","59.66","59.66","59.66"
"509","60.88","60.88","60.88"
"510","59.23","59.23","59.23"
"511","59.66","59.66","59.66"
"512","60.07","60.07","60.07"
"513","60.52","60.52","60.52"
"514","60.68","60.68","60.68"
"515","60.23","60.23","60.23"
"516","60.8","60.8","60.8"
"517","61.02","61.02","61.02"
"518","60.69","60.69","60.69"
"519","60.5","60.5","60.5"
"520","61.3","61.3","61.3"
"521","60.3","60.3","60.3"
"522","60.31","60.31","60.31"
"523","61.61","61.61","61.61"
"524","61.19","61.19","61.19"
"525","61.18","61.18","61.18"
"526","61.55","61.55","61.55"
"527","60.43","60.43","60.43"
"528","61","61","61"
"529","61.47","61.47","61.47"
"530","60.7","60.7","60.7"
