"Step","base1013 - valid_arithmetic_perfect","base1013 - valid_arithmetic_perfect__MIN","base1013 - valid_arithmetic_perfect__MAX"
"623","54.66","54.66","54.66"
"624","53.72","53.72","53.72"
"625","55.68","55.68","55.68"
"626","54.61","54.61","54.61"
"627","55.17","55.17","55.17"
"628","55.3","55.3","55.3"
"629","54.42","54.42","54.42"
"630","54.67","54.67","54.67"
"631","54.65","54.65","54.65"
"632","55.04","55.04","55.04"
"633","54.96","54.96","54.96"
"634","55.95","55.95","55.95"
"635","55.31","55.31","55.31"
"636","53.81","53.81","53.81"
"637","55.56","55.56","55.56"
"638","55.19","55.19","55.19"
"639","55.17","55.17","55.17"
"640","56.02","56.02","56.02"
"641","54.99","54.99","54.99"
"642","55.04","55.04","55.04"
"643","54.82","54.82","54.82"
"644","55.24","55.24","55.24"
"645","55.66","55.66","55.66"
"646","54.62","54.62","54.62"
"647","53.9","53.9","53.9"
"648","54.14","54.14","54.14"
"649","55.01","55.01","55.01"
"650","55.1","55.1","55.1"
"651","55.12","55.12","55.12"
"652","55.27","55.27","55.27"
"653","54.39","54.39","54.39"
"654","55.13","55.13","55.13"
"655","55.83","55.83","55.83"
"656","54.98","54.98","54.98"
"657","54.5","54.5","54.5"
"658","55.02","55.02","55.02"
"659","54.49","54.49","54.49"
"660","55.29","55.29","55.29"
"661","56.12","56.12","56.12"
"662","55.05","55.05","55.05"
"663","54.98","54.98","54.98"
"664","54.89","54.89","54.89"
"665","54.72","54.72","54.72"
"666","54.74","54.74","54.74"
"667","54.77","54.77","54.77"
"668","55.08","55.08","55.08"
"669","55.28","55.28","55.28"
"670","55.23","55.23","55.23"
"671","54.93","54.93","54.93"
"672","54.45","54.45","54.45"
"673","55.65","55.65","55.65"
"674","54.88","54.88","54.88"
"675","54.39","54.39","54.39"
"676","54.07","54.07","54.07"
"677","54.51","54.51","54.51"
"678","54.79","54.79","54.79"
"679","55.11","55.11","55.11"
"680","54.06","54.06","54.06"
"681","54.35","54.35","54.35"
"682","54.53","54.53","54.53"
"683","54.47","54.47","54.47"
"684","54.74","54.74","54.74"
