"Step","uniformbenford - test_arithmetic_perfect","uniformbenford - test_arithmetic_perfect__MIN","uniformbenford - test_arithmetic_perfect__MAX"
"256","54.66","54.66","54.66"
"257","55.15","55.15","55.15"
"258","55.76","55.76","55.76"
"259","57.16","57.16","57.16"
"260","56.29","56.29","56.29"
"261","56.06","56.06","56.06"
"262","55.83","55.83","55.83"
"263","56.85","56.85","56.85"
"264","56.74","56.74","56.74"
"265","56.63","56.63","56.63"
"266","55.1","55.1","55.1"
"267","55.51","55.51","55.51"
"268","54.96","54.96","54.96"
"269","56.85","56.85","56.85"
"270","56.26","56.26","56.26"
"271","56.95","56.95","56.95"
"272","56.91","56.91","56.91"
"273","55.75","55.75","55.75"
"274","56.06","56.06","56.06"
"275","56.16","56.16","56.16"
"276","55.38","55.38","55.38"
"277","56.32","56.32","56.32"
"278","56.36","56.36","56.36"
"279","56.96","56.96","56.96"
"280","56.41","56.41","56.41"
"281","55.94","55.94","55.94"
"282","56.54","56.54","56.54"
"283","56.33","56.33","56.33"
"284","55.67","55.67","55.67"
"285","55.93","55.93","55.93"
"286","55.67","55.67","55.67"
"287","55.53","55.53","55.53"
"288","56.5","56.5","56.5"
"289","56.32","56.32","56.32"
"290","56.04","56.04","56.04"
"291","57.21","57.21","57.21"
"292","56.7","56.7","56.7"
"293","56.22","56.22","56.22"
"294","56.95","56.95","56.95"
"295","56.16","56.16","56.16"
"296","56.56","56.56","56.56"
"297","56.81","56.81","56.81"
"298","56.43","56.43","56.43"
"299","56.84","56.84","56.84"
"300","55.94","55.94","55.94"
"301","56.5","56.5","56.5"
"302","56.06","56.06","56.06"
"303","57.53","57.53","57.53"
"304","57.21","57.21","57.21"
"305","56.44","56.44","56.44"
"306","56.7","56.7","56.7"
"307","56.74","56.74","56.74"
"308","55.93","55.93","55.93"
"309","56.26","56.26","56.26"
"310","56.03","56.03","56.03"
"311","56.54","56.54","56.54"
"312","56.72","56.72","56.72"
"313","56.83","56.83","56.83"
"314","55.48","55.48","55.48"
"315","56.76","56.76","56.76"
"316","56.93","56.93","56.93"
"317","56.39","56.39","56.39"
"318","55.54","55.54","55.54"
"319","56.15","56.15","56.15"
"320","56.44","56.44","56.44"
"321","56.45","56.45","56.45"
"322","57.02","57.02","57.02"
"323","57.62","57.62","57.62"
"324","56.45","56.45","56.45"
"325","55.95","55.95","55.95"
"326","56.44","56.44","56.44"
"327","56.65","56.65","56.65"
"328","56.31","56.31","56.31"
"329","56.66","56.66","56.66"
"330","57.13","57.13","57.13"
"331","56.51","56.51","56.51"
"332","55.66","55.66","55.66"
"333","56.75","56.75","56.75"
"334","56.73","56.73","56.73"
"335","56.42","56.42","56.42"
"336","56.27","56.27","56.27"
"337","56.98","56.98","56.98"
"338","56.81","56.81","56.81"
"339","57.49","57.49","57.49"
"340","56.5","56.5","56.5"
"341","56.23","56.23","56.23"
"342","56.15","56.15","56.15"
"343","56.06","56.06","56.06"
"344","56.99","56.99","56.99"
"345","57.3","57.3","57.3"
"346","57.78","57.78","57.78"
"347","56.58","56.58","56.58"
"348","55.97","55.97","55.97"
"349","56.51","56.51","56.51"
"350","56.51","56.51","56.51"
"351","56.72","56.72","56.72"
"352","55.56","55.56","55.56"
"353","56.71","56.71","56.71"
"354","57.14","57.14","57.14"
"355","56.52","56.52","56.52"
"356","56.29","56.29","56.29"
"357","56.05","56.05","56.05"
"358","56.62","56.62","56.62"
"359","56.64","56.64","56.64"
"360","56.03","56.03","56.03"
"361","56.71","56.71","56.71"
"362","56.52","56.52","56.52"
"363","56.04","56.04","56.04"
"364","56.7","56.7","56.7"
"365","56.13","56.13","56.13"
"366","57.19","57.19","57.19"
"367","56.63","56.63","56.63"
"368","56.71","56.71","56.71"
"369","57.45","57.45","57.45"
"370","57.49","57.49","57.49"
"371","56.98","56.98","56.98"
"372","57.1","57.1","57.1"
"373","57.26","57.26","57.26"
"374","57.44","57.44","57.44"
"375","56.53","56.53","56.53"
"376","55.94","55.94","55.94"
"377","57.47","57.47","57.47"
"378","55.82","55.82","55.82"
"379","58.08","58.08","58.08"
"380","56.71","56.71","56.71"
"381","56.62","56.62","56.62"
"382","56.33","56.33","56.33"
"383","57.29","57.29","57.29"
"384","57.08","57.08","57.08"
"385","57.01","57.01","57.01"
"386","56.41","56.41","56.41"
"387","56.78","56.78","56.78"
"388","56.89","56.89","56.89"
"389","56.87","56.87","56.87"
"390","57.02","57.02","57.02"
"391","57","57","57"
"392","56.73","56.73","56.73"
"393","56.76","56.76","56.76"
"394","56.52","56.52","56.52"
"395","56.74","56.74","56.74"
"396","56.81","56.81","56.81"
"397","56.81","56.81","56.81"
"398","57.2","57.2","57.2"
"399","56.61","56.61","56.61"
"400","55.85","55.85","55.85"
"401","57.5","57.5","57.5"
"402","57.27","57.27","57.27"
"403","56.99","56.99","56.99"
"404","57.34","57.34","57.34"
"405","56.63","56.63","56.63"
"406","57.61","57.61","57.61"
"407","57.88","57.88","57.88"
"408","57.87","57.87","57.87"
"409","56.7","56.7","56.7"
"410","57.2","57.2","57.2"
"411","56.81","56.81","56.81"
"412","57.45","57.45","57.45"
"413","57.28","57.28","57.28"
"414","57.59","57.59","57.59"
"415","57.38","57.38","57.38"
"416","58.26","58.26","58.26"
"417","58","58","58"
"418","56.95","56.95","56.95"
"419","58.95","58.95","58.95"
"420","57.21","57.21","57.21"
"421","58.03","58.03","58.03"
"422","57.88","57.88","57.88"
"423","57.97","57.97","57.97"
"424","57.4","57.4","57.4"
"425","59.32","59.32","59.32"
"426","58.06","58.06","58.06"
"427","58.34","58.34","58.34"
"428","58.71","58.71","58.71"
"429","59.25","59.25","59.25"
"430","59.23","59.23","59.23"
"431","57.64","57.64","57.64"
"432","58.24","58.24","58.24"
"433","59.93","59.93","59.93"
"434","58.38","58.38","58.38"
"435","58.54","58.54","58.54"
"436","57.58","57.58","57.58"
"437","58.86","58.86","58.86"
"438","58.57","58.57","58.57"
"439","58.27","58.27","58.27"
"440","58.26","58.26","58.26"
"441","59.33","59.33","59.33"
"442","58.53","58.53","58.53"
"443","58.67","58.67","58.67"
"444","58.27","58.27","58.27"
"445","58.66","58.66","58.66"
"446","59.07","59.07","59.07"
"447","58.18","58.18","58.18"
"448","58.68","58.68","58.68"
"449","57.94","57.94","57.94"
"450","60.37","60.37","60.37"
"451","58.68","58.68","58.68"
"452","59.5","59.5","59.5"
"453","59.62","59.62","59.62"
"454","58.95","58.95","58.95"
"455","59.04","59.04","59.04"
"456","57.08","57.08","57.08"
"457","58.76","58.76","58.76"
"458","58.67","58.67","58.67"
"459","59.63","59.63","59.63"
"460","58.36","58.36","58.36"
"461","60.01","60.01","60.01"
"462","59.98","59.98","59.98"
"463","59.27","59.27","59.27"
"464","58.77","58.77","58.77"
"465","59.8","59.8","59.8"
"466","59.25","59.25","59.25"
"467","59.51","59.51","59.51"
"468","59.94","59.94","59.94"
"469","59.53","59.53","59.53"
"470","59.03","59.03","59.03"
"471","60.22","60.22","60.22"
"472","59.74","59.74","59.74"
"473","59.92","59.92","59.92"
"474","59.53","59.53","59.53"
"475","60.23","60.23","60.23"
"476","59.94","59.94","59.94"
"477","58.91","58.91","58.91"
"478","59.73","59.73","59.73"
"479","59.76","59.76","59.76"
"480","59.54","59.54","59.54"
"481","59.24","59.24","59.24"
"482","59.37","59.37","59.37"
"483","59.83","59.83","59.83"
"484","58.9","58.9","58.9"
"485","58.16","58.16","58.16"
"486","59.06","59.06","59.06"
"487","59.92","59.92","59.92"
"488","58.94","58.94","58.94"
"489","58.96","58.96","58.96"
"490","58.65","58.65","58.65"
"491","59.36","59.36","59.36"
"492","59.93","59.93","59.93"
"493","59.76","59.76","59.76"
"494","59.14","59.14","59.14"
"495","59.71","59.71","59.71"
"496","59.82","59.82","59.82"
"497","59.75","59.75","59.75"
"498","59.82","59.82","59.82"
"499","59.33","59.33","59.33"
"500","58.79","58.79","58.79"
"501","59.16","59.16","59.16"
"502","59.25","59.25","59.25"
"503","58.96","58.96","58.96"
"504","59.24","59.24","59.24"
"505","58.62","58.62","58.62"
"506","60","60","60"
"507","59.94","59.94","59.94"
"508","59.62","59.62","59.62"
"509","60.11","60.11","60.11"
"510","59.07","59.07","59.07"
"511","60.04","60.04","60.04"
"512","59.15","59.15","59.15"
"513","59.45","59.45","59.45"
"514","59.52","59.52","59.52"
"515","60.13","60.13","60.13"
"516","59.86","59.86","59.86"
"517","59.35","59.35","59.35"
"518","59.34","59.34","59.34"
"519","59.65","59.65","59.65"
"520","59.74","59.74","59.74"
"521","59.8","59.8","59.8"
"522","59.62","59.62","59.62"
"523","59.68","59.68","59.68"
"524","59.15","59.15","59.15"
"525","59.63","59.63","59.63"
"526","59.81","59.81","59.81"
"527","59.07","59.07","59.07"
"528","60.01","60.01","60.01"
"529","58.94","58.94","58.94"
"530","59.43","59.43","59.43"
"531","59.61","59.61","59.61"
"532","59.61","59.61","59.61"
"533","60.13","60.13","60.13"
"534","58.96","58.96","58.96"
"535","59.77","59.77","59.77"
"536","58.75","58.75","58.75"
"537","58.78","58.78","58.78"
"538","59.53","59.53","59.53"
"539","59.84","59.84","59.84"
"540","59.44","59.44","59.44"
"541","59.84","59.84","59.84"
"542","59.86","59.86","59.86"
"543","58.65","58.65","58.65"
"544","60.09","60.09","60.09"
"545","59.34","59.34","59.34"
"546","60.62","60.62","60.62"
"547","60.85","60.85","60.85"
"548","59.36","59.36","59.36"
"549","58.79","58.79","58.79"
"550","58.68","58.68","58.68"
"551","59.64","59.64","59.64"
"552","59.79","59.79","59.79"
"553","59.72","59.72","59.72"
"554","60.6","60.6","60.6"
"555","60.08","60.08","60.08"
"556","60.92","60.92","60.92"
"557","59.41","59.41","59.41"
"558","59.61","59.61","59.61"
"559","60.23","60.23","60.23"
"560","60.17","60.17","60.17"
"561","60.21","60.21","60.21"
"562","58.99","58.99","58.99"
"563","59.18","59.18","59.18"
"564","59.76","59.76","59.76"
"565","59.74","59.74","59.74"
"566","59.29","59.29","59.29"
"567","60.6","60.6","60.6"
"568","60.33","60.33","60.33"
"569","59.74","59.74","59.74"
"570","59.15","59.15","59.15"
"571","60.21","60.21","60.21"
"572","59.75","59.75","59.75"
"573","59.83","59.83","59.83"
"574","59.83","59.83","59.83"
"575","59.53","59.53","59.53"
"576","61.02","61.02","61.02"
"577","60.24","60.24","60.24"
"578","60.24","60.24","60.24"
"579","60.05","60.05","60.05"
"580","59.84","59.84","59.84"
"581","59.24","59.24","59.24"
"582","59.99","59.99","59.99"
"583","59.79","59.79","59.79"
"584","60.17","60.17","60.17"
"585","60.34","60.34","60.34"
"586","60.4","60.4","60.4"
"587","60.44","60.44","60.44"
"588","58.83","58.83","58.83"
"589","60.14","60.14","60.14"
"590","59.66","59.66","59.66"
"591","59.15","59.15","59.15"
"592","59.08","59.08","59.08"
"593","59.84","59.84","59.84"
"594","59.43","59.43","59.43"
"595","59.64","59.64","59.64"
"596","59.94","59.94","59.94"
"597","59.71","59.71","59.71"
"598","59.75","59.75","59.75"
"599","59.05","59.05","59.05"
"600","60.41","60.41","60.41"
"601","60.42","60.42","60.42"
"602","60.67","60.67","60.67"
"603","60.23","60.23","60.23"
"604","59.76","59.76","59.76"
"605","59.25","59.25","59.25"
"606","59.73","59.73","59.73"
"607","59.72","59.72","59.72"
"608","60.12","60.12","60.12"
"609","60.13","60.13","60.13"
"610","59.93","59.93","59.93"
"611","59.45","59.45","59.45"
"612","59.22","59.22","59.22"
"613","59.89","59.89","59.89"
"614","59.35","59.35","59.35"
"615","59.65","59.65","59.65"
"616","59.82","59.82","59.82"
"617","60","60","60"
"618","59.48","59.48","59.48"
"619","59.93","59.93","59.93"
"620","59.71","59.71","59.71"
"621","59.46","59.46","59.46"
"622","59.45","59.45","59.45"
"623","60.4","60.4","60.4"
"624","60.43","60.43","60.43"
"625","60.46","60.46","60.46"
"626","60.64","60.64","60.64"
"627","59.57","59.57","59.57"
"628","60.12","60.12","60.12"
"629","59.91","59.91","59.91"
"630","59.82","59.82","59.82"
"631","61.19","61.19","61.19"
"632","59.81","59.81","59.81"
"633","59.64","59.64","59.64"
"634","59.68","59.68","59.68"
"635","59.48","59.48","59.48"
"636","60.29","60.29","60.29"
"637","60.3","60.3","60.3"
"638","59.87","59.87","59.87"
"639","59.59","59.59","59.59"
"640","59.06","59.06","59.06"
"641","60.09","60.09","60.09"
"642","60.48","60.48","60.48"
"643","61.07","61.07","61.07"
"644","60.59","60.59","60.59"
"645","60.51","60.51","60.51"
"646","60.6","60.6","60.6"
"647","60.66","60.66","60.66"
"648","60.7","60.7","60.7"
"649","61.56","61.56","61.56"
"650","59.43","59.43","59.43"
"651","60.7","60.7","60.7"
"652","60.79","60.79","60.79"
"653","60.79","60.79","60.79"
"654","60.51","60.51","60.51"
"655","60.23","60.23","60.23"
"656","61.84","61.84","61.84"
"657","60.68","60.68","60.68"
"658","59.79","59.79","59.79"
"659","61.47","61.47","61.47"
"660","60.44","60.44","60.44"
"661","61.76","61.76","61.76"
"662","60","60","60"
"663","61.19","61.19","61.19"
"664","61.07","61.07","61.07"
"665","60.64","60.64","60.64"
"666","61.7","61.7","61.7"
"667","61.08","61.08","61.08"
"668","61.2","61.2","61.2"
"669","60.61","60.61","60.61"
"670","61.85","61.85","61.85"
"671","60.18","60.18","60.18"
"672","60.5","60.5","60.5"
"673","61.26","61.26","61.26"
"674","60.03","60.03","60.03"
"675","59.92","59.92","59.92"
"676","61.09","61.09","61.09"
"677","61.39","61.39","61.39"
"678","61.74","61.74","61.74"
"679","61.86","61.86","61.86"
"680","60.88","60.88","60.88"
"681","61.19","61.19","61.19"
"682","60.68","60.68","60.68"
"683","60.62","60.62","60.62"
"684","61","61","61"
"685","60.63","60.63","60.63"
"686","61.07","61.07","61.07"
"687","60.81","60.81","60.81"
"688","60.73","60.73","60.73"
"689","61.28","61.28","61.28"
"690","61.3","61.3","61.3"
"691","61.36","61.36","61.36"
"692","60.41","60.41","60.41"
"693","60.44","60.44","60.44"
"694","61.36","61.36","61.36"
"695","60.45","60.45","60.45"
"696","61.39","61.39","61.39"
"697","61.76","61.76","61.76"
"698","61.57","61.57","61.57"
"699","61.28","61.28","61.28"
"700","60.51","60.51","60.51"
"701","61.26","61.26","61.26"
"702","61.55","61.55","61.55"
"703","61.41","61.41","61.41"
"704","60.91","60.91","60.91"
"705","61.31","61.31","61.31"
"706","61.68","61.68","61.68"
"707","61.59","61.59","61.59"
"708","60.8","60.8","60.8"
"709","60.58","60.58","60.58"
"710","60.59","60.59","60.59"
"711","60.29","60.29","60.29"
"712","60.01","60.01","60.01"
"713","61.37","61.37","61.37"
"714","61.25","61.25","61.25"
"715","60.38","60.38","60.38"
"716","60.4","60.4","60.4"
"717","61.46","61.46","61.46"
"718","60.72","60.72","60.72"
"719","60.21","60.21","60.21"
"720","61.01","61.01","61.01"
"721","61.07","61.07","61.07"
"722","60.79","60.79","60.79"
"723","60.78","60.78","60.78"
"724","61.4","61.4","61.4"
"725","61.27","61.27","61.27"
"726","60.51","60.51","60.51"
"727","60.12","60.12","60.12"
"728","60.84","60.84","60.84"
"729","61.67","61.67","61.67"
"730","61.54","61.54","61.54"
"731","60.89","60.89","60.89"
"732","60.65","60.65","60.65"
"733","61.31","61.31","61.31"
"734","61.95","61.95","61.95"
"735","61.19","61.19","61.19"
"736","60.82","60.82","60.82"
"737","60.63","60.63","60.63"
"738","60.15","60.15","60.15"
"739","61.69","61.69","61.69"
"740","61.41","61.41","61.41"
"741","61.25","61.25","61.25"
"742","61.16","61.16","61.16"
"743","61.59","61.59","61.59"
"744","60.31","60.31","60.31"
"745","60.14","60.14","60.14"
"746","60.71","60.71","60.71"
"747","60.81","60.81","60.81"
"748","61.27","61.27","61.27"
"749","60.39","60.39","60.39"
"750","60.3","60.3","60.3"
"751","61.16","61.16","61.16"
"752","61.2","61.2","61.2"
"753","61.11","61.11","61.11"
"754","61.79","61.79","61.79"
"755","61.49","61.49","61.49"
"756","60.9","60.9","60.9"
"757","61.06","61.06","61.06"
"758","60.41","60.41","60.41"
"759","60.99","60.99","60.99"
"760","61.28","61.28","61.28"
"761","61.02","61.02","61.02"
"762","61.15","61.15","61.15"
"763","61.95","61.95","61.95"
"764","60.99","60.99","60.99"
"765","60.81","60.81","60.81"
"766","61.19","61.19","61.19"
"767","61.08","61.08","61.08"
"768","61.05","61.05","61.05"
"769","61.18","61.18","61.18"
"770","61.17","61.17","61.17"
"771","61.69","61.69","61.69"
"772","60.99","60.99","60.99"
"773","61.19","61.19","61.19"
"774","61.64","61.64","61.64"
"775","61.27","61.27","61.27"
"776","61.36","61.36","61.36"
"777","60.86","60.86","60.86"
"778","60.98","60.98","60.98"
"779","60.91","60.91","60.91"
"780","60.28","60.28","60.28"
"781","61.76","61.76","61.76"
"782","61.09","61.09","61.09"
"783","60.53","60.53","60.53"
"784","61.27","61.27","61.27"
"785","60.29","60.29","60.29"
"786","61.78","61.78","61.78"
"787","60.46","60.46","60.46"
"788","60.76","60.76","60.76"
"789","61.59","61.59","61.59"
"790","60.7","60.7","60.7"
"791","61.19","61.19","61.19"
"792","60.98","60.98","60.98"
"793","60.6","60.6","60.6"
"794","61.28","61.28","61.28"
"795","60.52","60.52","60.52"
"796","61.83","61.83","61.83"
"797","60.59","60.59","60.59"
"798","61.46","61.46","61.46"
"799","60.8","60.8","60.8"
"800","62.05","62.05","62.05"
"801","61.47","61.47","61.47"
"802","60.76","60.76","60.76"
"803","60.56","60.56","60.56"
"804","60.22","60.22","60.22"
"805","60.86","60.86","60.86"
"806","61.78","61.78","61.78"
"807","61.82","61.82","61.82"
"808","61.3","61.3","61.3"
"809","60.6","60.6","60.6"
"810","62.06","62.06","62.06"
"811","60.32","60.32","60.32"
"812","60.62","60.62","60.62"
"813","60.61","60.61","60.61"
"814","60.99","60.99","60.99"
"815","61.21","61.21","61.21"
"816","61.33","61.33","61.33"
"817","60.61","60.61","60.61"
"818","61.67","61.67","61.67"
"819","60.48","60.48","60.48"
"820","60.66","60.66","60.66"
"821","61.88","61.88","61.88"
"822","60.45","60.45","60.45"
"823","61.16","61.16","61.16"
"824","60.69","60.69","60.69"
"825","61.16","61.16","61.16"
"826","60.59","60.59","60.59"
"827","60.87","60.87","60.87"
"828","61.06","61.06","61.06"
"829","61.18","61.18","61.18"
"830","61.18","61.18","61.18"
"831","61.44","61.44","61.44"
"832","60.89","60.89","60.89"
"833","62.05","62.05","62.05"
"834","61.69","61.69","61.69"
"835","61.75","61.75","61.75"
"836","60.88","60.88","60.88"
"837","61.69","61.69","61.69"
"838","61.07","61.07","61.07"
"839","61.07","61.07","61.07"
"840","60.88","60.88","60.88"
"841","61.79","61.79","61.79"
"842","60.42","60.42","60.42"
"843","61.48","61.48","61.48"
"844","61.37","61.37","61.37"
"845","61.26","61.26","61.26"
"846","60.7","60.7","60.7"
"847","60.73","60.73","60.73"
"848","61.58","61.58","61.58"
"849","61.61","61.61","61.61"
"850","61.32","61.32","61.32"
"851","61.39","61.39","61.39"
"852","61.26","61.26","61.26"
"853","60.47","60.47","60.47"
"854","60.79","60.79","60.79"
"855","61.76","61.76","61.76"
"856","61.76","61.76","61.76"
"857","60.8","60.8","60.8"
"858","61.24","61.24","61.24"
"859","61.4","61.4","61.4"
"860","60.6","60.6","60.6"
"861","61.29","61.29","61.29"
"862","60.72","60.72","60.72"
"863","61.87","61.87","61.87"
"864","61.08","61.08","61.08"
