"Step","base999 - valid_arithmetic_perfect","base999 - valid_arithmetic_perfect__MIN","base999 - valid_arithmetic_perfect__MAX"
"310","54.92","54.92","54.92"
"311","55.63","55.63","55.63"
"312","54.65","54.65","54.65"
"313","55.4","55.4","55.4"
"314","55.4","55.4","55.4"
"315","55.19","55.19","55.19"
"316","55.63","55.63","55.63"
"317","55.3","55.3","55.3"
"318","55.22","55.22","55.22"
"319","55.62","55.62","55.62"
"320","55.89","55.89","55.89"
"321","56.81","56.81","56.81"
"322","56.34","56.34","56.34"
"323","56.91","56.91","56.91"
"324","57.37","57.37","57.37"
"325","57.66","57.66","57.66"
"326","57.62","57.62","57.62"
"327","58.26","58.26","58.26"
"328","58.83","58.83","58.83"
"329","59.55","59.55","59.55"
"330","59.91","59.91","59.91"
"331","59.37","59.37","59.37"
"332","59.12","59.12","59.12"
"333","60.09","60.09","60.09"
"334","59.19","59.19","59.19"
"335","59.43","59.43","59.43"
"336","60.38","60.38","60.38"
"337","60.35","60.35","60.35"
"338","60.82","60.82","60.82"
"339","61.22","61.22","61.22"
"340","60.45","60.45","60.45"
"341","60.41","60.41","60.41"
"342","61.47","61.47","61.47"
"343","61.59","61.59","61.59"
"344","60.57","60.57","60.57"
"345","62.3","62.3","62.3"
"346","62.34","62.34","62.34"
"347","61.65","61.65","61.65"
"348","61.47","61.47","61.47"
"349","61.09","61.09","61.09"
"350","61.35","61.35","61.35"
"351","61.27","61.27","61.27"
"352","62.04","62.04","62.04"
"353","61.06","61.06","61.06"
"354","61.69","61.69","61.69"
"355","60.61","60.61","60.61"
"356","61.32","61.32","61.32"
"357","61.88","61.88","61.88"
"358","60.77","60.77","60.77"
"359","61.91","61.91","61.91"
"360","61.4","61.4","61.4"
"361","60.5","60.5","60.5"
"362","61.86","61.86","61.86"
"363","62.56","62.56","62.56"
"364","61.67","61.67","61.67"
"365","60.9","60.9","60.9"
"366","61.95","61.95","61.95"
"367","61.11","61.11","61.11"
"368","61.54","61.54","61.54"
"369","61.33","61.33","61.33"
"370","61.14","61.14","61.14"
"371","62.13","62.13","62.13"
"372","61.74","61.74","61.74"
"373","61.36","61.36","61.36"
"374","61.34","61.34","61.34"
"375","61.55","61.55","61.55"
"376","61.78","61.78","61.78"
"377","61.28","61.28","61.28"
"378","62.28","62.28","62.28"
"379","61.92","61.92","61.92"
"380","61.16","61.16","61.16"
"381","62.4","62.4","62.4"
"382","61.54","61.54","61.54"
"383","61.87","61.87","61.87"
"384","61.53","61.53","61.53"
"385","61.55","61.55","61.55"
"386","61.27","61.27","61.27"
"387","62.38","62.38","62.38"
"388","61.01","61.01","61.01"
"389","61.97","61.97","61.97"
"390","61.48","61.48","61.48"
"391","61.9","61.9","61.9"
"392","61.45","61.45","61.45"
"393","62.96","62.96","62.96"
"394","61.37","61.37","61.37"
"395","61.43","61.43","61.43"
"396","61.88","61.88","61.88"
"397","62.23","62.23","62.23"
"398","61.6","61.6","61.6"
"399","62.26","62.26","62.26"
"400","61.92","61.92","61.92"
"401","62.54","62.54","62.54"
"402","61.51","61.51","61.51"
"403","62.05","62.05","62.05"
"404","61.8","61.8","61.8"
"405","62.23","62.23","62.23"
"406","62.79","62.79","62.79"
"407","63.29","63.29","63.29"
"408","61.97","61.97","61.97"
"409","62.05","62.05","62.05"
"410","61.8","61.8","61.8"
"411","62.08","62.08","62.08"
"412","62.26","62.26","62.26"
"413","61.91","61.91","61.91"
"414","63.03","63.03","63.03"
"415","62.76","62.76","62.76"
"416","63.05","63.05","63.05"
"417","62.42","62.42","62.42"
"418","62.51","62.51","62.51"
"419","62.35","62.35","62.35"
"420","63.16","63.16","63.16"
"421","62.67","62.67","62.67"
"422","61.96","61.96","61.96"
"423","62.98","62.98","62.98"
"424","63.38","63.38","63.38"
"425","63.06","63.06","63.06"
"426","62.07","62.07","62.07"
"427","62.15","62.15","62.15"
"428","62.84","62.84","62.84"
"429","62.31","62.31","62.31"
"430","62.82","62.82","62.82"
"431","62.39","62.39","62.39"
"432","63.24","63.24","63.24"
"433","63.26","63.26","63.26"
"434","63.16","63.16","63.16"
"435","62.46","62.46","62.46"
"436","62.38","62.38","62.38"
"437","61.93","61.93","61.93"
"438","62.85","62.85","62.85"
"439","62.62","62.62","62.62"
"440","61.72","61.72","61.72"
"441","63.93","63.93","63.93"
"442","63.1","63.1","63.1"
"443","62.8","62.8","62.8"
"444","63","63","63"
"445","62.47","62.47","62.47"
"446","63.05","63.05","63.05"
"447","62.84","62.84","62.84"
"448","62.24","62.24","62.24"
"449","62.57","62.57","62.57"
"450","62.95","62.95","62.95"
"451","63.23","63.23","63.23"
"452","63.16","63.16","63.16"
"453","63.76","63.76","63.76"
"454","62.76","62.76","62.76"
"455","63.68","63.68","63.68"
"456","62.42","62.42","62.42"
"457","63.38","63.38","63.38"
"458","62.56","62.56","62.56"
"459","63.99","63.99","63.99"
"460","63.17","63.17","63.17"
"461","63.92","63.92","63.92"
"462","62.82","62.82","62.82"
"463","62.66","62.66","62.66"
"464","63.37","63.37","63.37"
"465","63.22","63.22","63.22"
"466","61.73","61.73","61.73"
"467","63.39","63.39","63.39"
"468","63.57","63.57","63.57"
"469","63.88","63.88","63.88"
"470","63.95","63.95","63.95"
"471","63.28","63.28","63.28"
"472","63.3","63.3","63.3"
"473","62.6","62.6","62.6"
"474","62.71","62.71","62.71"
"475","63.44","63.44","63.44"
"476","63.64","63.64","63.64"
"477","63.06","63.06","63.06"
"478","64.62","64.62","64.62"
"479","63.81","63.81","63.81"
"480","64.32","64.32","64.32"
"481","63.34","63.34","63.34"
"482","63.53","63.53","63.53"
"483","64.41","64.41","64.41"
"484","63.63","63.63","63.63"
"485","63.85","63.85","63.85"
"486","64.62","64.62","64.62"
"487","63.16","63.16","63.16"
"488","64.17","64.17","64.17"
"489","64.08","64.08","64.08"
"490","64","64","64"
"491","63.6","63.6","63.6"
"492","64.52","64.52","64.52"
"493","64.64","64.64","64.64"
"494","63.74","63.74","63.74"
"495","65.24","65.24","65.24"
"496","65.29","65.29","65.29"
"497","64.92","64.92","64.92"
"498","65.67","65.67","65.67"
"499","64.1","64.1","64.1"
"500","64.65","64.65","64.65"
"501","65.26","65.26","65.26"
"502","65.89","65.89","65.89"
"503","65.24","65.24","65.24"
"504","66.4","66.4","66.4"
"505","65","65","65"
"506","65.41","65.41","65.41"
"507","64.57","64.57","64.57"
"508","64.92","64.92","64.92"
"509","65.37","65.37","65.37"
"510","65.53","65.53","65.53"
"511","66.47","66.47","66.47"
"512","64.71","64.71","64.71"
"513","66.33","66.33","66.33"
"514","66.13","66.13","66.13"
"515","66.09","66.09","66.09"
"516","65.67","65.67","65.67"
"517","66.09","66.09","66.09"
"518","66.46","66.46","66.46"
"519","66.21","66.21","66.21"
"520","67.35","67.35","67.35"
"521","66.63","66.63","66.63"
"522","66.74","66.74","66.74"
"523","67.14","67.14","67.14"
"524","66.69","66.69","66.69"
"525","66.7","66.7","66.7"
"526","66.17","66.17","66.17"
"527","66.41","66.41","66.41"
"528","67.17","67.17","67.17"
"529","66.68","66.68","66.68"
"530","65.76","65.76","65.76"
"531","66.6","66.6","66.6"
"532","66.32","66.32","66.32"
"533","66.73","66.73","66.73"
"534","66.52","66.52","66.52"
"535","66.6","66.6","66.6"
"536","66.86","66.86","66.86"
"537","66.46","66.46","66.46"
"538","66.34","66.34","66.34"
"539","67.02","67.02","67.02"
"540","67.26","67.26","67.26"
"541","67.07","67.07","67.07"
"542","66.63","66.63","66.63"
"543","66.76","66.76","66.76"
"544","66.98","66.98","66.98"
"545","67.28","67.28","67.28"
"546","66.61","66.61","66.61"
"547","67.2","67.2","67.2"
"548","67.05","67.05","67.05"
"549","66.89","66.89","66.89"
"550","67.42","67.42","67.42"
"551","66.46","66.46","66.46"
"552","66.39","66.39","66.39"
"553","68.15","68.15","68.15"
"554","67.39","67.39","67.39"
"555","67.2","67.2","67.2"
"556","67.17","67.17","67.17"
"557","66.84","66.84","66.84"
"558","66.25","66.25","66.25"
"559","66.96","66.96","66.96"
"560","67.51","67.51","67.51"
"561","67.03","67.03","67.03"
"562","67.57","67.57","67.57"
"563","66.1","66.1","66.1"
"564","67.62","67.62","67.62"
"565","67.17","67.17","67.17"
"566","67.12","67.12","67.12"
"567","67.28","67.28","67.28"
"568","66.82","66.82","66.82"
"569","66.77","66.77","66.77"
"570","66.98","66.98","66.98"
"571","67.14","67.14","67.14"
"572","66.2","66.2","66.2"
"573","67.22","67.22","67.22"
"574","66.67","66.67","66.67"
"575","66.78","66.78","66.78"
"576","67.07","67.07","67.07"
"577","66.79","66.79","66.79"
"578","67.12","67.12","67.12"
"579","66.26","66.26","66.26"
"580","66.92","66.92","66.92"
"581","67.09","67.09","67.09"
"582","68.4","68.4","68.4"
"583","66.98","66.98","66.98"
"584","67.55","67.55","67.55"
"585","67.43","67.43","67.43"
"586","67.23","67.23","67.23"
"587","66.96","66.96","66.96"
"588","66.47","66.47","66.47"
"589","67.52","67.52","67.52"
"590","67.04","67.04","67.04"
"591","67.46","67.46","67.46"
"592","67.22","67.22","67.22"
"593","67.72","67.72","67.72"
"594","67.14","67.14","67.14"
"595","67.84","67.84","67.84"
"596","66.5","66.5","66.5"
"597","67.61","67.61","67.61"
"598","66.91","66.91","66.91"
"599","67.5","67.5","67.5"
"600","66.85","66.85","66.85"
"601","66.91","66.91","66.91"
"602","66.52","66.52","66.52"
"603","67.14","67.14","67.14"
"604","66.82","66.82","66.82"
"605","66.79","66.79","66.79"
"606","66.21","66.21","66.21"
"607","66.68","66.68","66.68"
"608","67.47","67.47","67.47"
"609","67.6","67.6","67.6"
"610","66.36","66.36","66.36"
"611","67.06","67.06","67.06"
"612","67.2","67.2","67.2"
"613","66.43","66.43","66.43"
"614","66.64","66.64","66.64"
"615","68.66","68.66","68.66"
"616","67.71","67.71","67.71"
"617","67.33","67.33","67.33"
"618","66.62","66.62","66.62"
"619","66.85","66.85","66.85"
"620","67.66","67.66","67.66"
"621","67.49","67.49","67.49"
"622","68.85","68.85","68.85"
"623","67.31","67.31","67.31"
"624","67.93","67.93","67.93"
"625","67.03","67.03","67.03"
"626","66.59","66.59","66.59"
"627","66.9","66.9","66.9"
"628","67.4","67.4","67.4"
"629","67.83","67.83","67.83"
"630","66.96","66.96","66.96"
"631","67.39","67.39","67.39"
"632","67.39","67.39","67.39"
"633","67.28","67.28","67.28"
"634","67.79","67.79","67.79"
"635","67.22","67.22","67.22"
"636","67.28","67.28","67.28"
"637","67.7","67.7","67.7"
"638","67.3","67.3","67.3"
"639","67.26","67.26","67.26"
"640","66.73","66.73","66.73"
"641","68.11","68.11","68.11"
"642","66.83","66.83","66.83"
"643","67.33","67.33","67.33"
"644","67.11","67.11","67.11"
"645","67.09","67.09","67.09"
"646","68.37","68.37","68.37"
"647","67.36","67.36","67.36"
"648","67.41","67.41","67.41"
"649","67.53","67.53","67.53"
"650","67","67","67"
"651","67.41","67.41","67.41"
"652","66.7","66.7","66.7"
"653","67.09","67.09","67.09"
"654","67.44","67.44","67.44"
"655","68.01","68.01","68.01"
"656","67.04","67.04","67.04"
"657","67.63","67.63","67.63"
"658","66.78","66.78","66.78"
"659","67.26","67.26","67.26"
"660","67.5","67.5","67.5"
"661","67","67","67"
"662","67.79","67.79","67.79"
